Date,Open,High,Low,Close,Volume,Adj Close,Symbol
2011-07-21,183.58999599999999,185.5,182.899994,184.899994,4958400,159.835925,IBM
2011-07-22,184.639999,185.630005,184.259995,185.179993,4516100,160.077969,IBM
2011-07-25,183.889999,184.96000700000002,183.279999,183.699997,4987000,158.79859299999998,IBM
2011-07-26,182.940002,184.050003,182.649994,182.929993,4356200,158.13296699999998,IBM
2011-07-27,182.009995,182.91000400000001,180.929993,181.350006,5806800,156.767155,IBM
2011-07-28,181.059998,183.270004,180.880005,181.800003,4478800,157.156153,IBM
2011-07-29,180.259995,183.429993,179.729996,181.850006,6665600,157.199377,IBM
2011-08-01,182.600006,183.690002,178.5,180.75,5842700,156.248482,IBM
2011-08-02,179.949997,182.28999299999998,177.860001,178.050003,5770400,153.91448300000002,IBM
2011-08-03,177.669998,179.229996,175.41000400000001,178.830002,6722000,154.588749,IBM
2011-08-04,176.5,177.919998,171.179993,171.479996,11022300,148.235071,IBM
2011-08-05,172.100006,174.220001,166.520004,172.979996,11871800,149.531739,IBM
2011-08-08,168.830002,172.610001,166.0,166.220001,15804900,144.313801,IBM
2011-08-09,167.46000700000002,171.050003,162.0,170.610001,12517600,148.12524,IBM
2011-08-10,168.179993,169.229996,161.850006,162.53999299999998,13993600,141.118783,IBM
2011-08-11,164.100006,168.770004,162.940002,166.729996,9175600,144.756583,IBM
2011-08-12,168.5,169.380005,165.830002,168.199997,5187000,146.032852,IBM
2011-08-15,171.320007,174.0,170.389999,172.990005,7645400,150.191584,IBM
2011-08-16,172.190002,172.190002,169.0,171.240005,5585400,148.672217,IBM
2011-08-17,171.570007,172.990005,169.889999,171.479996,5129700,148.880579,IBM
2011-08-18,166.320007,166.46000700000002,160.16000400000001,163.830002,15082600,142.23878,IBM
2011-08-19,162.169998,163.940002,157.130005,157.53999299999998,14068600,136.777735,IBM
2011-08-22,161.350006,161.679993,157.619995,158.979996,7249100,138.027959,IBM
2011-08-23,160.649994,164.58999599999999,159.529999,164.320007,6923300,142.664208,IBM
2011-08-24,164.130005,166.830002,163.350006,166.759995,6427000,144.78262800000002,IBM
2011-08-25,167.520004,168.529999,164.850006,165.580002,6751600,143.758147,IBM
2011-08-26,164.850006,169.330002,163.279999,169.139999,6438200,146.848971,IBM
2011-08-29,170.580002,172.720001,170.360001,172.619995,5293400,149.870337,IBM
2011-08-30,172.059998,173.509995,170.880005,172.509995,4477700,149.774833,IBM
2011-08-31,173.28999299999998,173.720001,170.71000700000002,171.91000400000001,6074200,149.253916,IBM
2011-09-01,172.71000700000002,173.679993,170.119995,170.330002,5463900,147.88214299999999,IBM
2011-09-02,167.690002,168.929993,166.0,166.979996,4979100,144.973635,IBM
2011-09-06,163.059998,165.550003,162.199997,165.110001,5761200,143.350088,IBM
2011-09-07,167.279999,167.899994,166.16000400000001,167.309998,6796600,145.260146,IBM
